username,repo_name,stars,repo_url
mrdoob,three.js,97800,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,25400,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,22500,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,22100,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,19000,https://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,17000,https://github.com/FreeCAD/FreeCAD
lettier,3d-game-shaders-for-beginners,16800,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,16100,https://github.com/aframevr/aframe
CesiumGS,cesium,11600,https://github.com/CesiumGS/cesium
blender,blender,11000,https://github.com/blender/blender
MonoGame,MonoGame,10600,https://github.com/MonoGame/MonoGame
isl-org,Open3D,10200,https://github.com/isl-org/Open3D
metafizzy,zdog,10200,https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,9400,https://github.com/timzhang642/3D-Machine-Learning
nerfstudio-project,nerfstudio,8100,https://github.com/nerfstudio-project/nerfstudio
a1studmuffin,SpaceshipGenerator,7600,https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,7100,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,7000,https://github.com/FyroxEngine/Fyrox
google,model-viewer,6400,https://github.com/google/model-viewer
openscad,openscad,6300,https://github.com/openscad/openscad
