username,repo_name,stars,repo_url
jwasham,coding-interview-university,279000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,181000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,176000,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,171000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,107000,https://github.com/yangshun/tech-interview-handbook
krahets,hello-algo,64200,https://github.com/krahets/hello-algo
kdn251,interviews,61300,https://github.com/kdn251/interviews
TheAlgorithms,Java,56000,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,53400,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,45900,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,45700,https://github.com/youngyangyang04/leetcode-master
huihut,interview,32200,https://github.com/huihut/interview
halfrost,LeetCode-Go,31500,https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,30700,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,28700,https://github.com/TheAlgorithms/C-Plus-Plus
donnemartin,interactive-coding-challenges,28500,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27100,https://github.com/crossoverJie/JCSprout
keon,algorithms,23400,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,22500,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,22400,https://github.com/trekhleb/homemade-machine-learning
