username,repo_name,stars,repo_url
sindresorhus,awesome,292000,https://github.com/sindresorhus/awesome
vinta,awesome-python,200000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,171000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,125000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,118000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,82600,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,82100,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,75300,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,69500,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,65099,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,62100,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,61100,https://github.com/enaqx/awesome-react
sindresorhus,awesome-nodejs,55100,https://github.com/sindresorhus/awesome-nodejs
fffaraz,awesome-cpp,54200,https://github.com/fffaraz/awesome-cpp
prakhar1989,awesome-courses,52800,https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,52100,https://github.com/binhnguyennus/awesome-scalability
Solido,awesome-flutter,50500,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,48700,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,45300,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,44900,https://github.com/tiimgreen/github-cheat-sheet
