username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,146000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,74300,https://github.com/nvm-sh/nvm
junegunn,fzf,58200,https://github.com/junegunn/fzf
google,zx,40500,https://github.com/google/zx
starship,starship,39600,https://github.com/starship/starship
LeCoupa,awesome-cheatsheets,36800,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,35600,https://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,35600,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,34500,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,30500,https://github.com/alebcay/awesome-shell
mathiasbynens,dotfiles,29700,https://github.com/mathiasbynens/dotfiles
jaywcjlove,linux-command,27400,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,23900,https://github.com/withfig/autocomplete
dylanaraps,neofetch,20000,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,19900,https://github.com/asdf-vm/asdf
kingToolbox,WindTerm,19500,https://github.com/kingToolbox/WindTerm
Nyr,openvpn-install,18200,https://github.com/Nyr/openvpn-install
warpdotdev,Warp,17900,https://github.com/warpdotdev/Warp
ajeetdsouza,zoxide,16600,https://github.com/ajeetdsouza/zoxide
atuinsh,atuin,16600,https://github.com/atuinsh/atuin
