username,repo_name,stars,repo_url
Genymobile,scrcpy,98900,https://github.com/Genymobile/scrcpy
neovim,neovim,74500,https://github.com/neovim/neovim
obsproject,obs-studio,54400,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,54200,https://github.com/fffaraz/awesome-cpp
git,git,49000,https://github.com/git/git
FFmpeg,FFmpeg,41200,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,38800,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,34400,https://github.com/vim/vim
curl,curl,33300,https://github.com/curl/curl
huihut,interview,32200,https://github.com/huihut/interview
ggreer,the_silver_searcher,25600,https://github.com/ggreer/the_silver_searcher
mpv-player,mpv,25400,https://github.com/mpv-player/mpv
ossrs,srs,23800,https://github.com/ossrs/srs
google,flatbuffers,21800,https://github.com/google/flatbuffers
kovidgoyal,kitty,21400,https://github.com/kovidgoyal/kitty
ruby,ruby,21400,https://github.com/ruby/ruby
microsoft,vcpkg,21000,https://github.com/microsoft/vcpkg
hashcat,hashcat,19500,https://github.com/hashcat/hashcat
radareorg,radare2,19300,https://github.com/radareorg/radare2
raysan5,raylib,18000,https://github.com/raysan5/raylib
