username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,45700,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,27400,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,22700,https://github.com/refined-github/refined-github
openai-translator,openai-translator,21000,https://github.com/openai-translator/openai-translator
darkreader,darkreader,18400,https://github.com/darkreader/darkreader
dailydotdev,daily,15800,https://github.com/dailydotdev/daily
checkly,headless-recorder,14900,https://github.com/checkly/headless-recorder
unbug,codelf,13900,https://github.com/unbug/codelf
wong2,chatgpt-google-extension,13300,https://github.com/wong2/chatgpt-google-extension
gildas-lormeau,SingleFile,13200,https://github.com/gildas-lormeau/SingleFile
immersive-translate,immersive-translate,12900,https://github.com/immersive-translate/immersive-translate
Anarios,return-youtube-dislike,12100,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,11500,https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,10900,https://github.com/listen1/listen1_chrome_extension
josStorer,chatGPTBox,9400,https://github.com/josStorer/chatGPTBox
chathub-dev,chathub,9300,https://github.com/chathub-dev/chathub
AutomaApp,automa,9200,https://github.com/AutomaApp/automa
alyssaxuu,screenity,9200,https://github.com/alyssaxuu/screenity
ajayyy,SponsorBlock,8500,https://github.com/ajayyy/SponsorBlock
appbaseio,dejavu,8300,https://github.com/appbaseio/dejavu
