username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,167000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,58200,https://github.com/junegunn/fzf
sherlock-project,sherlock,49700,https://github.com/sherlock-project/sherlock
sharkdp,bat,45500,https://github.com/sharkdp/bat
BurntSushi,ripgrep,43700,https://github.com/BurntSushi/ripgrep
jesseduffield,lazygit,43300,https://github.com/jesseduffield/lazygit
wagoodman,dive,42800,https://github.com/wagoodman/dive
google,zx,40500,https://github.com/google/zx
n8n-io,n8n,39100,https://github.com/n8n-io/n8n
chubin,cheat.sh,37100,https://github.com/chubin/cheat.sh
spf13,cobra,35400,https://github.com/spf13/cobra
cli,cli,34800,https://github.com/cli/cli
httpie,cli,31300,https://github.com/httpie/cli
sharkdp,fd,30900,https://github.com/sharkdp/fd
alebcay,awesome-shell,30500,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,29400,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,27800,https://github.com/acheong08/ChatGPT
tqdm,tqdm,27100,https://github.com/tqdm/tqdm
angular,angular-cli,26600,https://github.com/angular/angular-cli
google,python-fire,26000,https://github.com/google/python-fire
