username,repo_name,stars,repo_url
vercel,next.js,119000,https://github.com/vercel/next.js
rust-lang,rust,90600,https://github.com/rust-lang/rust
sveltejs,svelte,75700,https://github.com/sveltejs/svelte
webpack,webpack,64000,https://github.com/webpack/webpack
FuelLabs,sway,55400,https://github.com/FuelLabs/sway
gatsbyjs,gatsby,55000,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,47100,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,43000,https://github.com/parcel-bundler/parcel
babel,babel,42800,https://github.com/babel/babel
evanw,esbuild,36900,https://github.com/evanw/esbuild
vlang,v,35200,https://github.com/vlang/v
carbon-language,carbon-lang,32000,https://github.com/carbon-language/carbon-lang
markedjs,marked,31500,https://github.com/markedjs/marked
swc-project,swc,29600,https://github.com/swc-project/swc
ziglang,zig,29100,https://github.com/ziglang/zig
typst,typst,26600,https://github.com/typst/typst
vercel,pkg,24200,https://github.com/vercel/pkg
v8,v8,22400,https://github.com/v8/v8
oracle,graal,19600,https://github.com/oracle/graal
RustPython,RustPython,17200,https://github.com/RustPython/RustPython
