username,repo_name,stars,repo_url
localstack,localstack,51500,https://github.com/localstack/localstack
harness,gitness,31200,https://github.com/harness/gitness
jenkinsci,jenkins,22100,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12800,https://github.com/auchenberg/volkswagen
dagger,dagger,9800,https://github.com/dagger/dagger
openshift,origin,8400,https://github.com/openshift/origin
milanm,DevOps-Roadmap,7800,https://github.com/milanm/DevOps-Roadmap
concourse,concourse,7100,https://github.com/concourse/concourse
gocd,gocd,7000,https://github.com/gocd/gocd
buildbot,buildbot,5200,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,5100,https://github.com/gaia-pipeline/gaia
Strider-CD,strider,4600,https://github.com/Strider-CD/strider
jenkins-x,jx,4500,https://github.com/jenkins-x/jx
ovh,cds,4400,https://github.com/ovh/cds
JamesIves,github-pages-deploy-action,4000,https://github.com/JamesIves/github-pages-deploy-action
TheLartians,ModernCppStarter,3900,https://github.com/TheLartians/ModernCppStarter
iterative,cml,3900,https://github.com/iterative/cml
xcpretty,xcpretty,3900,https://github.com/xcpretty/xcpretty
werf,werf,3900,https://github.com/werf/werf
cake-build,cake,3800,https://github.com/cake-build/cake
