username,repo_name,stars,repo_url
public-apis,public-apis,281000,https://github.com/public-apis/public-apis
neovim,neovim,74300,https://github.com/neovim/neovim
tiangolo,fastapi,68600,https://github.com/tiangolo/fastapi
hoppscotch,hoppscotch,59000,https://github.com/hoppscotch/hoppscotch
strapi,strapi,59000,https://github.com/strapi/strapi
ocornut,imgui,54200,https://github.com/ocornut/imgui
slatedocs,slate,35700,https://github.com/slatedocs/slate
Kong,insomnia,32500,https://github.com/Kong/insomnia
trpc,trpc,31800,https://github.com/trpc/trpc
httpie,cli,31200,https://github.com/httpie/cli
hasura,graphql-engine,30700,https://github.com/hasura/graphql-engine
ccxt,ccxt,30500,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,30300,https://github.com/Binaryify/NeteaseCloudMusicApi
QuivrHQ,quivr,28500,https://github.com/QuivrHQ/quivr
encode,django-rest-framework,27200,https://github.com/encode/django-rest-framework
YMFE,yapi,26900,https://github.com/YMFE/yapi
littlecodersh,ItChat,24800,https://github.com/littlecodersh/ItChat
directus,directus,24800,https://github.com/directus/directus
microsoft,api-guidelines,22300,https://github.com/microsoft/api-guidelines
PostgREST,postgrest,21800,https://github.com/PostgREST/postgrest
