username,repo_name,stars,repo_url
bregman-arie,devops-exercises,62100,https://github.com/bregman-arie/devops-exercises
ByteByteGoHq,system-design-101,54800,https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,51400,https://github.com/localstack/localstack
serverless,serverless,45900,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,26200,https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,19400,https://github.com/sst/sst
pulumi,pulumi,19100,https://github.com/pulumi/pulumi
kubernetes-sigs,kubespray,15100,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,14700,https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,14600,https://github.com/ramitsurana/awesome-kubernetes
getsops,sops,14700,https://github.com/getsops/sops
donnemartin,awesome-aws,12000,https://github.com/donnemartin/awesome-aws
caprover,caprover,11800,https://github.com/caprover/caprover
GoogleCloudPlatform,terraformer,11500,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,11000,https://github.com/aws/aws-cdk
apereo,cas,10600,https://github.com/apereo/cas
aws,chalice,10200,https://github.com/aws/chalice
infracost,infracost,10100,https://github.com/infracost/infracost
aws-amplify,amplify-js,9400,https://github.com/aws-amplify/amplify-js
hashicorp,terraform-provider-aws,9300,https://github.com/hashicorp/terraform-provider-aws
