username,repo_name,stars,repo_url
amphp,amp,4100,https://github.com/amphp/amp
danog,MadelineProto,2600,https://github.com/danog/MadelineProto
unreal4u,telegram-api,773,https://github.com/unreal4u/telegram-api
amphp,parallel,724,https://github.com/amphp/parallel
amphp,http-client,685,https://github.com/amphp/http-client
amphp,byte-stream,351,https://github.com/amphp/byte-stream
php-service-bus,service-bus,347,https://github.com/php-service-bus/service-bus
amphp,mysql,338,https://github.com/amphp/mysql
amphp,parallel-functions,263,https://github.com/amphp/parallel-functions
amphp,process,222,https://github.com/amphp/process
xtrime-ru,TelegramRSS,210,https://github.com/xtrime-ru/TelegramRSS
amphp,socket,210,https://github.com/amphp/socket
amphp,sync,152,https://github.com/amphp/sync
amphp,redis,146,https://github.com/amphp/redis
amphp,dns,146,https://github.com/amphp/dns
amphp,websocket-client,130,https://github.com/amphp/websocket-client
kelunik,acme,121,https://github.com/kelunik/acme
amphp,websocket-server,109,https://github.com/amphp/websocket-server
amphp,serialization,103,https://github.com/amphp/serialization
amphp,cache,94,https://github.com/amphp/cache
