username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,108000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,93700,https://github.com/angular/angular
storybookjs,storybook,82100,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,61300,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,50200,https://github.com/ionic-team/ionic-framework
prettier,prettier,47800,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,40400,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,34300,https://github.com/SheetJS/sheetjs
angular,angular-cli,26600,https://github.com/angular/angular-cli
angular,components,23900,https://github.com/angular/components
NativeScript,NativeScript,23500,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,23400,https://github.com/goldbergyoni/javascript-testing-best-practices
nrwl,nx,21300,https://github.com/nrwl/nx
wailsapp,wails,21200,https://github.com/wailsapp/wails
jhipster,generator-jhipster,21100,https://github.com/jhipster/generator-jhipster
sudheerj,javascript-interview-questions,20900,https://github.com/sudheerj/javascript-interview-questions
pubkey,rxdb,20300,https://github.com/pubkey/rxdb
teambit,bit,17400,https://github.com/teambit/bit
sweetalert2,sweetalert2,16600,https://github.com/sweetalert2/sweetalert2
paperless-ngx,paperless-ngx,15600,https://github.com/paperless-ngx/paperless-ngx
