username,repo_name,stars,repo_url
bregman-arie,devops-exercises,62100,https://github.com/bregman-arie/devops-exercises
ansible,ansible,60400,https://github.com/ansible/ansible
trailofbits,algo,28100,https://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,25200,https://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,23100,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,15100,https://github.com/kubernetes-sigs/kubespray
ansible,awx,13200,https://github.com/ansible/awx
easzlab,kubeasz,9900,https://github.com/easzlab/kubeasz
ansible-semaphore,semaphore,8800,https://github.com/ansible-semaphore/semaphore
geerlingguy,ansible-for-devops,7900,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,7600,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,7500,https://github.com/Tikam02/DevOps-Guide
netbootxyz,netboot.xyz,7400,https://github.com/netbootxyz/netboot.xyz
geerlingguy,mac-dev-playbook,5700,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5200,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4900,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4500,https://github.com/clong/DetectionLab
ansible,molecule,3800,https://github.com/ansible/molecule
dev-sec,ansible-collection-hardening,3600,https://github.com/dev-sec/ansible-collection-hardening
opendevops-cn,opendevops,3600,https://github.com/opendevops-cn/opendevops
