username,repo_name,stars,repo_url
sindresorhus,awesome,291000,https://github.com/sindresorhus/awesome
vinta,awesome-python,199000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,170000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,124000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,117000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,82400,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,82000,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,75000,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,69400,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,64800,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,61900,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,61000,https://github.com/enaqx/awesome-react
sindresorhus,awesome-nodejs,55000,https://github.com/sindresorhus/awesome-nodejs
fffaraz,awesome-cpp,54000,https://github.com/fffaraz/awesome-cpp
prakhar1989,awesome-courses,52700,https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,52000,https://github.com/binhnguyennus/awesome-scalability
Solido,awesome-flutter,50400,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,48600,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,45200,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,44700,https://github.com/tiimgreen/github-cheat-sheet
