username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,146000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,74000,https://github.com/nvm-sh/nvm
junegunn,fzf,58000,https://github.com/junegunn/fzf
google,zx,40400,https://github.com/google/zx
starship,starship,39500,https://github.com/starship/starship
LeCoupa,awesome-cheatsheets,36600,https://github.com/LeCoupa/awesome-cheatsheets
dylanaraps,pure-bash-bible,35600,https://github.com/dylanaraps/pure-bash-bible
acmesh-official,acme.sh,35500,https://github.com/acmesh-official/acme.sh
koalaman,shellcheck,34500,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,30400,https://github.com/alebcay/awesome-shell
mathiasbynens,dotfiles,29600,https://github.com/mathiasbynens/dotfiles
jaywcjlove,linux-command,27300,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,23900,https://github.com/withfig/autocomplete
dylanaraps,neofetch,19900,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,19800,https://github.com/asdf-vm/asdf
kingToolbox,WindTerm,19400,https://github.com/kingToolbox/WindTerm
Nyr,openvpn-install,18200,https://github.com/Nyr/openvpn-install
warpdotdev,Warp,17600,https://github.com/warpdotdev/Warp
extrawurst,gitui,16500,https://github.com/extrawurst/gitui
atuinsh,atuin,16300,https://github.com/atuinsh/atuin
