username,repo_name,stars,repo_url
CyC2018,CS-Notes,171000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,158000,https://github.com/practical-tutorials/project-based-learning
fffaraz,awesome-cpp,54000,https://github.com/fffaraz/awesome-cpp
azl397985856,leetcode,53300,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,45400,https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,42800,https://github.com/x64dbg/x64dbg
Light-City,CPlusPlusThings,35800,https://github.com/Light-City/CPlusPlusThings
yuzu-emu,yuzu,33700,https://github.com/yuzu-emu/yuzu
huihut,interview,32100,https://github.com/huihut/interview
carbon-language,carbon-lang,32000,https://github.com/carbon-language/carbon-lang
CMU-Perceptual-Computing-Lab,openpose,29400,https://github.com/CMU-Perceptual-Computing-Lab/openpose
TheAlgorithms,C-Plus-Plus,28600,https://github.com/TheAlgorithms/C-Plus-Plus
microsoft,calculator,28500,https://github.com/microsoft/calculator
doocs,leetcode,28000,https://github.com/doocs/leetcode
aseprite,aseprite,25800,https://github.com/aseprite/aseprite
changkun,modern-cpp-tutorial,22800,https://github.com/changkun/modern-cpp-tutorial
dragonflydb,dragonfly,22300,https://github.com/dragonflydb/dragonfly
ethereum,solidity,21800,https://github.com/ethereum/solidity
gabime,spdlog,21600,https://github.com/gabime/spdlog
microsoft,vcpkg,21000,https://github.com/microsoft/vcpkg
